fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
622f51f0-b52e-433c-a51c-de7463629a14,09a0c3cc-4abf-45f0-bfd6-58024523fdf8,"[200, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.910071942,0,0,0,0,0,0,61.10737642
622f51f0-b52e-433c-a51c-de7463629a14,877a888b-9736-4416-98f4-cccc90f6b89d,"[500, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.910071942,0,0,0,0,0,0,326.5159071
622f51f0-b52e-433c-a51c-de7463629a14,dc76fb41-87eb-4a6f-95f2-845ba1164a20,"[1000, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.910071942,0,0,0,0,0,0,659.6655238
622f51f0-b52e-433c-a51c-de7463629a14,7ddd8b6c-3608-4958-943c-0297657dca75,[100],lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.730215827,0.050632911,0.036363636,0.083333333,0.050632911,0.036363636,0.083333333,0.164210492
622f51f0-b52e-433c-a51c-de7463629a14,8ddec8f0-35f2-4c73-9731-af01dc8bd9b3,[200],lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.363309353,0.053475936,0.030674847,0.208333333,0.053475936,0.030674847,0.208333333,0.374585039
622f51f0-b52e-433c-a51c-de7463629a14,2a7d2c6b-6f1a-4b10-9fa3-3f9acfac5dc7,[500],lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,1.027889559
622f51f0-b52e-433c-a51c-de7463629a14,24a1da65-81eb-41bc-9c74-2e94f7d54d66,[1000],lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.874100719,0.102564103,0.133333333,0.083333333,0.102564103,0.133333333,0.083333333,0.646245865
622f51f0-b52e-433c-a51c-de7463629a14,8f687273-c248-41f3-9b85-984a88c145ff,"[100, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.571942446,0.21192053,0.125984252,0.666666667,0.21192053,0.125984252,0.666666667,0.124885875
622f51f0-b52e-433c-a51c-de7463629a14,4b00d8a0-3230-469d-aca1-3898ad4762a4,"[200, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,0.088962431
622f51f0-b52e-433c-a51c-de7463629a14,8bd0cf1b-7c17-4b6f-b2f5-22f1764e130a,"[500, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,0.112468805
622f51f0-b52e-433c-a51c-de7463629a14,487aa0b9-16ef-422a-a47e-8ab104339994,"[1000, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1109,22,2,0.910071942,0,0,0,0,0,0,0.194920421
592d3861-42e9-4735-b81a-d01ae6b70dd1,07adaa73-feb2-408d-bc9b-b689631c4a12,[100],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,2109,22,2,0.835227273,0.186915888,0.476190476,0.11627907,0.186915888,0.476190476,0.11627907,145.7195006
592d3861-42e9-4735-b81a-d01ae6b70dd1,4ab0e8a3-7480-40b9-ba83-8f293b96bdcd,[200],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,2109,22,2,0.835227273,0.230088496,0.481481481,0.151162791,0.230088496,0.481481481,0.151162791,279.2129468
592d3861-42e9-4735-b81a-d01ae6b70dd1,b4cf4780-736d-4ae7-af34-9df9dcbc1f7b,[500],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,2109,22,2,0.84469697,0.338709677,0.552631579,0.244186047,0.338709677,0.552631579,0.244186047,706.0651736
592d3861-42e9-4735-b81a-d01ae6b70dd1,12a98b5e-96b1-409f-bf7e-66dfa99ccd8a,[1000],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,2109,22,2,0.846590909,0.295652174,0.586206897,0.197674419,0.295652174,0.586206897,0.197674419,1461.511348
