fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance
592d3861-42e9-4735-b81a-d01ae6b70dd1,07adaa73-feb2-408d-bc9b-b689631c4a12,[100],lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,4ab0e8a3-7480-40b9-ba83-8f293b96bdcd,[200],lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,b4cf4780-736d-4ae7-af34-9df9dcbc1f7b,[500],lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,12a98b5e-96b1-409f-bf7e-66dfa99ccd8a,[1000],lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,fe29cdc5-7d90-42be-89bd-ef7c5cd001ac,"[100, 20]",lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,a909e7e8-aeac-4629-97e9-c2c167c1ff18,"[200, 20]",lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,e9c26bf2-b4f0-4ffe-a289-f27d3aa59f2f,"[500, 20]",lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,35d8c2a0-f0cd-42dd-9613-b6e6da9a0c70,"[1000, 20]",lbfgs,tanh,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,0be423c1-ff7b-4ac6-9d32-1e3430e19115,[100],lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,ed3e10fa-2da3-4a0a-a366-0ae956120460,[200],lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,2e08e427-5f74-4a62-b281-a5ff3fbc00ae,[500],lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,87fdab91-a45b-4369-9bf2-a1934ec01c71,[1000],lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,877fc1a3-9856-4daf-bac8-098be24e5d31,"[100, 20]",lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,118cf51f-cd75-4c3b-b733-e2a6b104c267,"[200, 20]",lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,5135de7b-1317-45b3-8a34-a143ba9d9020,"[500, 20]",lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,b68b5578-4a04-49f1-9f82-55f42fcca8ce,"[1000, 20]",lbfgs,relu,100000,0.0001
592d3861-42e9-4735-b81a-d01ae6b70dd1,09b4f3d3-41dc-488a-8630-5782e2593026,[100],lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,07825263-68ce-4eb6-975a-4d3e99be07c2,[200],lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,900e0398-cc3e-4f8f-b91c-6f4e40eb9629,[500],lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,536d92c7-f029-4877-95cb-3d572b6ebbdb,[1000],lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,2192775c-96dd-4e4f-8adb-f1927728bd16,"[100, 20]",lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,fa05043f-8a9e-46c7-a0b9-2bc7a6c35a94,"[200, 20]",lbfgs,tanh,100000,0.001
592d3861-42e9-4735-b81a-d01ae6b70dd1,0e77a20b-5376-45c3-8fc3-ece19c039957,"[500, 20]",lbfgs,tanh,100000,0.001
