fID,eID,trees,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
ce6b0b92-05a3-4763-8877-544d53c87b14,7dee6698-9108-46fd-9b01-b509693910ad,300,TRUE,None,RF,7797,618,26,0.954140127,0.954140127,0.954140127,0.954140127,0.952033138,0.953267813,0.95203568,43.13443813
ce6b0b92-05a3-4763-8877-544d53c87b14,7fe063c2-0d62-43a6-adac-1bbc96208c2d,400,TRUE,None,RF,7797,618,26,0.954140127,0.954140127,0.954140127,0.954140127,0.952184843,0.953318431,0.952591623,58.82883125
6c724e17-6d86-4e9f-b304-2941edc5b33d,c9bdb938-f2cc-480c-a135-2c9cab58aabd,100,FALSE,None,RF,9961,15,9,0.964271377,0.964271377,0.964271377,0.964271377,0.960768992,0.963110421,0.958867671,1.810037168
6c724e17-6d86-4e9f-b304-2941edc5b33d,fd15a3a3-b426-43bc-bae5-7723d89e803e,200,FALSE,None,RF,9961,15,9,0.970293055,0.970293055,0.970293055,0.970293055,0.967389643,0.969361422,0.965767006,3.535576328
6c724e17-6d86-4e9f-b304-2941edc5b33d,5dc1e3c9-3ed5-404d-ac61-42e68f9f2ce7,300,FALSE,None,RF,9961,15,9,0.968687274,0.968687274,0.968687274,0.968687274,0.965945115,0.968083517,0.964132076,5.28962015
6c724e17-6d86-4e9f-b304-2941edc5b33d,1bae5094-e871-4cb6-8c22-3cc3369bf34b,400,FALSE,None,RF,9961,15,9,0.969490165,0.969490165,0.969490165,0.969490165,0.966446857,0.968655839,0.964606973,7.044082033
3d9fc9a3-3742-4ae5-b8d8-34398ef1f8be,7157a1ee-c38b-4f96-b89c-0459b4e3f9ce,100,FALSE,None,RF,841,71,4,0.990521327,0.990521327,0.990521327,0.990521327,0.986968158,0.993506494,0.981041667,0.276668947
3d9fc9a3-3742-4ae5-b8d8-34398ef1f8be,9cd591f6-ff88-4772-b0cc-69757722e7d9,200,FALSE,None,RF,841,71,4,0.990521327,0.990521327,0.990521327,0.990521327,0.986968158,0.993506494,0.981041667,0.434384004
3d9fc9a3-3742-4ae5-b8d8-34398ef1f8be,1fc2f9bf-766a-41e0-9852-0394c15c7daf,300,FALSE,None,RF,841,71,4,0.990521327,0.990521327,0.990521327,0.990521327,0.986968158,0.993506494,0.981041667,0.64879173
3d9fc9a3-3742-4ae5-b8d8-34398ef1f8be,1583703b-31d0-43bd-8532-364b40bb617c,400,FALSE,None,RF,841,71,4,0.990521327,0.990521327,0.990521327,0.990521327,0.986968158,0.993506494,0.981041667,0.867345393
0ce1d9c3-465a-4d86-bdbc-6bbf32e0e9fb,a8e08d9d-5db6-450f-872f-6ada2c56a99f,100,FALSE,None,RF,1212,101,2,0.594059406,0.611987382,0.621794872,0.602484472,0.611987382,0.621794872,0.602484472,0.920461145
0ce1d9c3-465a-4d86-bdbc-6bbf32e0e9fb,64a4dd10-f1f7-472e-b16e-9d25667c770b,200,FALSE,None,RF,1212,101,2,0.574257426,0.593059937,0.602564103,0.583850932,0.593059937,0.602564103,0.583850932,1.699429068
0ce1d9c3-465a-4d86-bdbc-6bbf32e0e9fb,6725e134-3203-4a69-8044-c25e1d9339c4,300,FALSE,None,RF,1212,101,2,0.584158416,0.60625,0.610062893,0.602484472,0.60625,0.610062893,0.602484472,2.491109311
0ce1d9c3-465a-4d86-bdbc-6bbf32e0e9fb,688d5fa6-cdfe-4bd3-92b5-caba9ad251b8,400,FALSE,None,RF,1212,101,2,0.561056106,0.577777778,0.590909091,0.565217391,0.577777778,0.590909091,0.565217391,3.368249644
8ab372a9-6fc4-44c2-9d59-7ba88d5f11df,46caee4f-bfe4-4dae-af6f-b2e346e728e8,100,FALSE,None,RF,5404,6,2,0.914877868,0.851228978,0.859007833,0.843589744,0.851228978,0.859007833,0.843589744,0.67229747
8ab372a9-6fc4-44c2-9d59-7ba88d5f11df,43cafd12-2a65-41e8-aeb5-948cc7e681c2,200,FALSE,None,RF,5404,6,2,0.911917098,0.848407643,0.843037975,0.853846154,0.848407643,0.843037975,0.853846154,1.276643289
8ab372a9-6fc4-44c2-9d59-7ba88d5f11df,24bc5852-5a28-4df8-8d98-7ae748690b15,300,FALSE,None,RF,5404,6,2,0.908956329,0.842509603,0.841432225,0.843589744,0.842509603,0.841432225,0.843589744,1.914018316
8ab372a9-6fc4-44c2-9d59-7ba88d5f11df,2619d25c-09a1-4280-a196-8446633303ca,400,FALSE,None,RF,5404,6,2,0.914877868,0.851994852,0.855297158,0.848717949,0.851994852,0.855297158,0.848717949,2.555629825
6e94a052-3571-45ca-b087-35968ee9d3f5,bb69af23-b26a-44a6-8596-21ea41db4a0d,100,TRUE,None,RF,70000,785,10,0.967538968,0.967538968,0.967538968,0.967538968,0.967215487,0.967165454,0.967306833,51.96746423
6e94a052-3571-45ca-b087-35968ee9d3f5,de818fe5-b768-47d0-b61b-78a043dc935e,200,TRUE,None,RF,70000,785,10,0.968968969,0.968968969,0.968968969,0.968968969,0.968620621,0.968605722,0.968668056,94.47681426
